pk_numero	data	numero	rubrica_all	note_fuori_rubrica	notizie_fatti_storici	note	note_varie
180	1946-08-07	180	no	mostra d'arte alla Ghilda a Lugano (p3)			
181	1946-08-08	181	no	scrittrice Gabriella Neri assassinata (p2); premio letterario LS (p3)	"""L'Europa diventa piccola"" (voli aerei, p1); Sul riavvicinamento culturale russo-svizzero (p1)"		
182	1946-08-09	182	no	"morte scrittrice Gertrude Stein (p1); ""un grande poeta ticinese"" (p3, canzonatura ma senza fare nomi… Zoppi?)"			
183	1946-08-10	183	no		"""Gli arabi confidano nell'URSS. La Palestina miglior banco di prova per la politica sovietica"" (p3)"		
184	1946-08-12	184	no	"annuncio pubb ""le memorie di un calzolaio"" di Sinicco (p1), Memorie di un calzolaio (p3)-->v. foto archivi del 2 marzo!!; Bendetto Croce sulla fondazione uni Civitas Nuova a Lugano (p3), inaugurazione mostra d'arte alle Ghilda (p3)"			
185	1946-08-13	185	no	Memorie di un calzolaio II (p3)			
186	1946-08-14	186	no	Memorie di un calzolaio III (p3)			
187	1946-08-16	187	no	"libro ""La Svizzera"" di Egidio Reale (p1); H. G. Wells è morto (p2); ""Sole e ombr"" in Flussi e Riflussi (p2); Memorie di un calzolaio IV (p3)"			
188	1946-08-17	188	no	Memorie di un calzolaio V (p2); A Saba e micheli il premio Viareggio (p4)			
189	1946-08-18	189	no				
190	1946-08-20	190	no		"""Il terrore minaccia la Palestina"" (ebrei VS britannici, p1)"		
191	1946-08-21	191	no	Memorie di un calzolaio VI (p3)			
192	1946-08-22	192	no	"""Al mio amico Bracops"" in Flussi e Riflussi (p2); Memorie di un calzolaio VII (p3); mostra del libro americano (p3)"			
193	1946-08-23	193	si	Intervista con Silone (p2-3?)			
194	1946-08-24	194	no				
195	1946-08-26	195	no	"""Kaputt"" p.2 (?) e ""Il paese"" p.3 (meh?); Memorie di un calzolaio VIII (p3)"			
196	1946-08-27	196	no	"""Selenio"" di Ugo Frey (p2); Memorie di un calzolaio IX (p3)"			
197	1946-08-28	197	no	Memorie di un calzolaio X (p3)			
198	1946-08-29	198	no	George Bernard Shaw e Herbert George Wells (pp.1-2); Il tragico romanzo di Lassalle dopo 82 anni (p1)	 mostra arte alla Ghilda (p3)		
199	1946-08-30	199	si	Memorie di un calzolaio XI (3)	 serata ricreativa pro biblioteca popolare (3)	 scambi culturali (3)	
200	1946-08-31	200	no	serata ricreativa pro biblioteca popolare (2)			
201	1946-09-02	201	no		"""Anche l'inutile processo di Norimberga è finito"" (1)"		
202	1946-09-03	202	no		Rastrellamento a Trieste (4)		
203	1946-09-04	203	no	"esposizione del libro inglese a Berna (2); Memorie di un calzolaio XII (p3); ""Anche Lugano deve avere la sua vita culturale"" (3)"			
204	1946-09-05	204	no	"""La Svizzera"" di Egidio Reale, edizione Ghilda del libro (p2); ""Solitudine settembrina"" in Flussi e Riflussi (2)"			
205	1946-09-06	205	si				
206	1946-09-07	206	no	Anche Piero Parini è libero (giornalista/editore  fascio	 p1); mostra di artisti varesotti alla Ghilda a Lugano (2)		
207	1946-09-09	207	no	Inaugurazione mostra alla Ghilda (p3)			
208	1946-09-10	208	no				
209	1946-09-11	209	no	Memorie di un calzolaio XIII (p3); dono dello scrittore Edmond Jaloux alla biblioteca di Losanna (collezione di testi letterari	 p4)	"""Attlee ritiene solubile il problema palestinese"" (4)"	
210	1946-09-12	210	no				
211	1946-09-13	211	si	Memorie di un calzolaio XIV (p3); Corsi d'inglese alla Ghilda (p3)			
212	1946-09-14	212	no				
213	1946-09-16	213	no	"""Rispostine"" in rubrica Qualche cosa su Zoppi e altre considerazioni letterarie da parte dei lettori (p2); Memorie di un calzolaio XV (p3)"	"""Il discorso Wallace fa rumore"" = CLIMA USA nei confronti URSS tra discorsi e posizioni contrastanti in merito all' ""espansionismo russo"" (1)"		
